state,year,crimes
Johor,2016,10121
Johor,2017,8729
Johor,2018,8458
Johor,2019,7947
Johor,2020,5966
Johor,2021,3440
Johor,2022,3489
Johor,2023,4102
Kedah,2016,6201
Kedah,2017,5763
Kedah,2018,5232
Kedah,2019,4678
Kedah,2020,3457
Kedah,2021,3067
Kedah,2022,3758
Kedah,2023,3847
Kelantan,2016,4005
Kelantan,2017,3920
Kelantan,2018,3476
Kelantan,2019,3075
Kelantan,2020,2027
Kelantan,2021,1591
Kelantan,2022,1758
Kelantan,2023,1604
Melaka,2016,2510
Melaka,2017,2255
Melaka,2018,2179
Melaka,2019,2101
Melaka,2020,1428
Melaka,2021,999
Melaka,2022,1033
Melaka,2023,1147
Negeri Sembilan,2016,3390
Negeri Sembilan,2017,3089
Negeri Sembilan,2018,2842
Negeri Sembilan,2019,2549
Negeri Sembilan,2020,1906
Negeri Sembilan,2021,1401
Negeri Sembilan,2022,1404
Negeri Sembilan,2023,1478
Pahang,2016,3126
Pahang,2017,2951
Pahang,2018,3012
Pahang,2019,2676
Pahang,2020,1926
Pahang,2021,1643
Pahang,2022,1489
Pahang,2023,1466
Perak,2016,4546
Perak,2017,4186
Perak,2018,4123
Perak,2019,3809
Perak,2020,2599
Perak,2021,2178
Perak,2022,2490
Perak,2023,2720
Perlis,2016,546
Perlis,2017,472
Perlis,2018,437
Perlis,2019,406
Perlis,2020,412
Perlis,2021,356
Perlis,2022,320
Perlis,2023,264
Pulau Pinang,2016,5078
Pulau Pinang,2017,4474
Pulau Pinang,2018,4127
Pulau Pinang,2019,4162
Pulau Pinang,2020,3011
Pulau Pinang,2021,2899
Pulau Pinang,2022,2516
Pulau Pinang,2023,2784
Sabah,2016,4720
Sabah,2017,5475
Sabah,2018,5571
Sabah,2019,5106
Sabah,2020,3316
Sabah,2021,3014
Sabah,2022,3585
Sabah,2023,3583
Sarawak,2016,5873
Sarawak,2017,5505
Sarawak,2018,5019
Sarawak,2019,5125
Sarawak,2020,5089
Sarawak,2021,3701
Sarawak,2022,3299
Sarawak,2023,3487
Selangor,2016,24612
Selangor,2017,19599
Selangor,2018,16762
Selangor,2019,15498
Selangor,2020,13353
Selangor,2021,11471
Selangor,2022,10205
Selangor,2023,10786
Terengganu,2016,2087
Terengganu,2017,1903
Terengganu,2018,1532
Terengganu,2019,1577
Terengganu,2020,1821
Terengganu,2021,1370
Terengganu,2022,1254
Terengganu,2023,1123
W.P. Kuala Lumpur,2016,13213
W.P. Kuala Lumpur,2017,9483
W.P. Kuala Lumpur,2018,8990
W.P. Kuala Lumpur,2019,8258
W.P. Kuala Lumpur,2020,6353
W.P. Kuala Lumpur,2021,4718
W.P. Kuala Lumpur,2022,3865
W.P. Kuala Lumpur,2023,3600
